title,author,genre,publisher,price,rating,reviews_count,sales_rank,year,store,discount_percent,delivery_cost,demand_score,popularity_score
Complete Love Methods,J.K. Rowling,Technology,,24.82,4.6,59,1230,2020,Amazon,13.984192917599279,0,0.18997939206594538,92.0118
Lost Data Science Trilogy,Michelle Obama,Self-Help,Macmillan,15.44,3.2,1030,1063,2012,Snapdeal,23.097580645307737,50,3.3165893869139618,64.206
Business Journal,Stephen King,Biography,Simon & Schuster,13.9,4.2,5573,786,2025,Flipkart,10.634280815191994,50,17.945002575991754,85.1146
Dark Love Collection,Delia Owens,Self-Help,Macmillan,10.96,4.4,998,2502,2019,Crossword,12.055479460248932,50,3.2135497166409066,88.1996
Beginner's Python Trilogy,George R.R. Martin,Romance,,12.35,4.7,664,1659,2017,Snapdeal,24.934710909579188,75,2.138073158165894,94.1328
Dark Machine Learning Secrets,Alex Michaelides,Self-Help,Macmillan,11.49,3.5,293,2301,2010,Amazon,21.757017980181917,0,0.943456980937661,70.0586
Modern Money Strategies,Michelle Obama,Fiction,Indie Pub,16.48,4.4,1057,950,2012,Amazon,41.593836042724,50,3.403529108706852,88.2114
Gardening Masterclass,Stephen King,Romance,O'Reilly Media,22.92,3.8,650,1091,2017,BooksWagon,19.495755964665324,40,2.0929933024214322,76.13
Past Machine Learning Masterclass,Neil Gaiman,Fiction,Indie Pub,14.19,4.3,5148,1280,2023,BooksWagon,28.22353401112174,50,16.576506955177745,87.0296
Advanced Marketing Collection,Agatha Christie,Non-Fiction,,16.29,4.2,71,2061,2013,Flipkart,30.290571516781213,50,0.22861926841834107,84.0142
Past Data Science Collection,Neil Gaiman,Business,Simon & Schuster,25.3,4.4,818,1007,2018,Snapdeal,5.5237782635333454,50,2.6339515713549715,88.1636
Secret Python Bible,Delia Owens,Biography,HarperCollins,19.83,4.6,834,3755,2011,Snapdeal,31.541494880668424,40,2.6854714064914993,92.1668
Advanced Mystery Handbook,Yuval Noah Harari,Biography,Simon & Schuster,18.96,3.5,2106,1930,2023,BooksWagon,12.121438674790056,0,6.781298299845441,70.4212
Future Time Methods,Agatha Christie,Business,Penguin Random House,27.93,3.9,348,1065,2022,Snapdeal,43.442812698778205,40,1.1205564142194746,78.0696
Advanced Machine Learning Trilogy,Delia Owens,Cooking,O'Reilly Media,30.5,4.2,84,2504,2014,Snapdeal,10.946509110124518,75,0.2704791344667697,84.0168
Secret Business Chronicles,Tim Ferriss,Non-Fiction,Penguin Random House,9.69,5.0,237,1681,2011,Amazon,21.58496494908095,75,0.7631375579598145,100.0474
Complete Meditation Workbook,Tara Westover,Non-Fiction,HarperCollins,11.08,3.6,982,2295,2015,BooksWagon,8.413986723145754,0,3.1620298815043792,72.1964
Hidden Leadership Saga,Alex Michaelides,Fiction,Macmillan,16.14,4.3,152,1313,2011,Crossword,44.87497007383789,0,0.4894384337970119,86.0304
Hidden Cooking Methods,Brene Brown,Technology,Macmillan,26.3,3.5,190,1523,2020,BooksWagon,25.087800413249703,0,0.6117980422462649,70.038
Forgotten AI Bible,Tim Ferriss,History,HarperCollins,22.61,4.4,718,1787,2010,Crossword,28.815400692801752,50,2.3119526017516745,88.1436
Meditation Framework,Malcolm Gladwell,Romance,Hachette,11.6,3.8,732,1829,2014,Amazon,7.683059095537099,50,2.357032457496136,76.1464
Future Business Guide,J.K. Rowling,Science,O'Reilly Media,49.33,4.5,211,1439,2019,Flipkart,34.99841881596711,0,0.6794178258629572,90.0422
AI Masterclass,Delia Owens,Fantasy,Hachette,10.13,3.8,2094,1521,2013,Snapdeal,13.39622372382343,40,6.742658423493045,76.4188
Advanced War Strategies,Delia Owens,Science Fiction,Simon & Schuster,19.82,5.0,1325,1716,2018,Amazon,40.922171577628546,50,4.2664863472436885,100.265
Data Science Journal,Brene Brown,Fantasy,O'Reilly Media,28.77,3.8,143,2863,2018,Snapdeal,13.205585619280287,50,0.46045852653271513,76.0286
Essential Fitness Chronicles,Brene Brown,Health,Penguin Random House,14.61,4.6,749,1759,2010,Flipkart,12.627508826546663,40,2.4117722823286964,92.1498
Bright Cooking Trilogy,George R.R. Martin,Science Fiction,Amazon KDP,15.07,5.0,606,1264,2010,Flipkart,6.461986713923795,40,1.9513137557959814,100.1212
Modern Love Handbook,Dale Carnegie,Non-Fiction,Simon & Schuster,18.13,4.4,181,1891,2023,Amazon,23.882677804399968,40,0.582818134981968,88.0362
Secret Space Story,Malcolm Gladwell,Technology,Macmillan,23.88,4.2,1031,1555,2013,Flipkart,27.593645330504657,0,3.3198093766099945,84.2062
Bright War Journal,J.K. Rowling,Self-Help,Simon & Schuster,10.77,4.6,254,2518,2023,Crossword,7.628345577134095,40,0.8178773827923751,92.0508
Machine Learning Anthology,Yuval Noah Harari,Biography,Hachette,16.07,4.4,298,3986,2015,Flipkart,36.02110466780042,40,0.9595569294178258,88.0596
Future Meditation Secrets,Malcolm Gladwell,Self-Help,O'Reilly Media,25.58,3.6,562,1884,2021,Snapdeal,23.131553389921105,50,1.8096342091705309,72.1124
Complete Fitness Framework,Malcolm Gladwell,Non-Fiction,Amazon KDP,16.79,4.7,1808,1633,2020,Snapdeal,25.975610773103202,40,5.821741370427615,94.3616
Fitness Chronicles,Tara Westover,Fantasy,Amazon KDP,8.11,4.5,522,3200,2020,Snapdeal,22.630509877529125,50,1.6808346213292118,90.1044
Beginner's War Journal,Brene Brown,Mystery,Penguin Random House,17.58,5.0,2248,787,2013,Snapdeal,21.03052243501304,0,7.238536836682123,100.4496
Machine Learning Journal,Tara Westover,Mystery,HarperCollins,19.77,4.6,459,1586,2022,Crossword,27.385613252328717,40,1.4779752704791345,92.0918
Dark War System,Tara Westover,Non-Fiction,Macmillan,11.14,4.2,278,2209,2021,BooksWagon,11.2096098372285,0,0.8951571354971664,84.0556
Beginner's Mystery Methods,Robert Kiyosaki,Fantasy,Hachette,26.57,3.4,1244,1596,2019,Amazon,12.277125219810845,0,4.005667181865018,68.2488
Hidden Baking Methods,Stephen King,Romance,Macmillan,12.64,4.0,1511,705,2023,Snapdeal,39.47142484054069,50,4.865404430705822,80.3022
Hidden Leadership System,Delia Owens,Cooking,Penguin Random House,11.42,4.3,306,1572,2019,Flipkart,42.84461848534531,75,0.9853168469860896,86.0612
Future Baking Bible,George R.R. Martin,History,O'Reilly Media,35.23,4.5,3154,2705,2016,Snapdeal,19.932372651190118,0,10.155847501287996,90.6308
History Secrets,Tara Westover,Science,Indie Pub,14.87,4.6,277,1861,2012,Flipkart,15.829786925742152,40,0.8919371458011335,92.0554
Lost Design Bible,Malcolm Gladwell,Biography,Simon & Schuster,16.04,4.6,790,2096,2010,Flipkart,30.75998172956063,50,2.5437918598660483,92.158
Advanced Cooking Guide,Neil Gaiman,History,,9.0,3.9,455,1364,2022,Snapdeal,21.349366843923857,0,1.4650953116950025,78.091
Bright Business Collection,Robert Kiyosaki,Biography,Amazon KDP,23.83,5.0,306,925,2017,Crossword,6.0154542264137945,40,0.9853168469860896,100.0612
Future Time Saga,Delia Owens,Non-Fiction,Macmillan,25.61,4.0,154,1415,2013,Flipkart,11.246103894647614,50,0.49587841318907777,80.0308
Bright Business Journal,Brand New Author,Romance,Indie Pub,21.33,4.6,870,1790,2024,Flipkart,33.6388891538959,40,2.801391035548686,92.174
Fitness Secrets,Delia Owens,Health,O'Reilly Media,25.37,3.7,19,2048,2015,Snapdeal,31.356957676406054,0,0.06117980422462649,74.0038
Complete History Secrets,Brene Brown,Health,O'Reilly Media,28.74,3.5,1281,3992,2017,Flipkart,6.08383970013934,0,4.124806800618238,70.2562
Advanced Mystery Story,Tim Ferriss,Science,Indie Pub,22.8,3.5,2223,1900,2012,Flipkart,13.878886477317977,50,7.1580370942812985,70.4446
Secret Time Journal,Malcolm Gladwell,Science Fiction,HarperCollins,20.82,4.4,263,1424,2023,Snapdeal,14.242991863522857,40,0.8468572900566719,88.0526
Python Workbook,Malcolm Gladwell,Non-Fiction,Amazon KDP,16.0,4.0,407,2631,2022,Snapdeal,31.875709743949137,0,1.3105358062854198,80.0814
Space Trilogy,James Clear,History,Indie Pub,15.57,3.9,5531,883,2019,Amazon,5.788421510174566,50,17.809763008758374,79.1062
Hidden Money Guide,Delia Owens,Science Fiction,Macmillan,25.67,4.5,523,1640,2025,Crossword,9.164343279382955,0,1.6840546110252448,90.1046
Forgotten Marketing: The Guide,Tim Ferriss,Cooking,Amazon KDP,16.4,4.0,548,1480,2015,Crossword,36.996643414927576,50,1.764554353426069,80.1096
Essential Time Chronicles,Alex Michaelides,Cooking,Penguin Random House,12.05,3.9,957,1492,2012,Flipkart,12.141786482173345,0,3.0815301391035548,78.1914
Beginner's War Workbook,Brene Brown,Non-Fiction,Amazon KDP,19.5,4.5,1265,1781,2020,Crossword,31.109844314074987,75,4.07328696548171,90.253
Bright Marketing Handbook,Neil Gaiman,Science,Hachette,20.86,4.5,819,2577,2012,Flipkart,14.52731124186906,0,2.6371715610510047,90.1638
Advanced Python: The Story,Yuval Noah Harari,Technology,HarperCollins,24.9,3.9,1878,1910,2011,Amazon,8.977655710373806,0,6.047140649149923,78.3756
Advanced Time Principles,Stephen King,Self-Help,O'Reilly Media,32.74,4.7,771,1042,2013,Snapdeal,14.726887639978163,0,2.482612055641422,94.1542
History Masterclass,Dale Carnegie,Biography,Simon & Schuster,19.13,4.2,2445,1508,2013,Snapdeal,33.89067727422636,0,7.872874806800619,84.489
Bright Gardening Bible,James Clear,Mystery,Hachette,23.41,4.1,1297,1066,2022,Snapdeal,39.22785872425143,50,4.176326635754766,82.2594
AI Handbook,Yuval Noah Harari,Mystery,HarperCollins,15.48,5.0,273,1615,2019,Crossword,38.208794582679666,75,0.8790571870170014,100.0546
Dark War Guide,Delia Owens,Technology,Amazon KDP,19.97,4.6,1773,1794,2021,Amazon,20.887341184738194,0,5.70904173106646,92.3546
Beginner's Time Story,Neil Gaiman,Health,O'Reilly Media,33.12,3.8,618,1598,2013,Crossword,31.723405462825845,40,1.9899536321483773,76.1236
Past Leadership Principles,J.K. Rowling,Cooking,Hachette,15.38,4.1,1496,1771,2025,Crossword,13.199371816632839,50,4.817104585265327,82.2992
Time Workbook,Yuval Noah Harari,Technology,HarperCollins,20.87,3.9,658,2295,2018,Amazon,16.72590921044053,50,2.1187532199896957,78.1316
Advanced Love Principles,James Clear,Technology,O'Reilly Media,35.89,4.2,1339,953,2020,Amazon,40.85343274084479,40,4.311566202988151,84.2678
Advanced Data Science Secrets,Brene Brown,Technology,Hachette,22.64,3.5,128,1830,2010,Amazon,5.520076940429441,0,0.41215868109222054,70.0256
Dark Money Collection,Neil Gaiman,Science Fiction,O'Reilly Media,26.41,4.9,624,2186,2017,Amazon,8.420341234178723,40,2.009273570324575,98.1248
Bright Meditation Methods,James Clear,Biography,HarperCollins,19.29,3.7,949,1033,2019,Snapdeal,13.315450205841092,40,3.0557702215352913,74.1898
Beginner's Space Trilogy,Alex Michaelides,Fantasy,,14.91,3.8,886,1556,2025,BooksWagon,6.061288154952789,0,2.8529108706852138,76.1772
Advanced AI Strategies,Dale Carnegie,Technology,O'Reilly Media,42.6,4.4,544,1648,2018,BooksWagon,12.257417403591893,40,1.751674394641937,88.1088
Lost Fitness Saga,Robert Kiyosaki,Technology,Simon & Schuster,28.45,4.2,1150,1087,2016,Amazon,28.321662438787687,0,3.7029881504379185,84.23
Beginner's Baking Methods,Simon Sinek,Mystery,HarperCollins,15.49,4.4,353,2895,2016,BooksWagon,21.856982023699917,50,1.1366563626996393,88.0706
The Ultimate Marketing Methods,Delia Owens,Non-Fiction,Simon & Schuster,27.26,3.8,5958,1445,2018,BooksWagon,40.706868443078996,0,19.18469860896445,77.1916
Money Anthology,Stephen King,Science Fiction,O'Reilly Media,34.36,4.1,9261,964,2013,Amazon,37.69774246953764,40,29.82032457496136,83.8522
Past Money Masterclass,Tim Ferriss,History,Simon & Schuster,10.8,3.9,45,2630,2011,BooksWagon,18.67269406791504,40,0.14489953632148378,78.009
Dark Machine Learning Story,Colleen Hoover,Health,Amazon KDP,11.2,5.0,1731,812,2025,Crossword,15.3769373372517,40,5.573802163833076,100.3462
Space Secrets,Alex Michaelides,Business,Hachette,29.75,4.4,156,2599,2012,Flipkart,20.187696326690677,0,0.5023183925811437,88.0312
Leadership Journal,Tara Westover,Biography,Amazon KDP,8.4,4.3,3468,937,2024,Flipkart,28.61179770059231,40,11.16692426584235,86.6936
Gardening Principles,Alex Michaelides,Science,Penguin Random House,16.43,4.8,687,1297,2013,Amazon,15.72254563291505,40,2.212132921174652,96.1374
Complete Baking Guide,Colleen Hoover,Fantasy,,7.03,4.5,1186,847,2017,Snapdeal,29.96595631396536,40,3.8189077794951056,90.2372
Modern History Collection,George R.R. Martin,Cooking,,27.75,4.1,214,1601,2019,Amazon,21.376466087649618,40,0.6890777949510561,82.0428
Secret Meditation Story,Yuval Noah Harari,Fiction,Hachette,15.6,3.6,1228,1658,2016,Snapdeal,27.08188723407921,40,3.9541473467284907,72.2456
Modern Design Methods,Stephen King,Science,HarperCollins,17.33,4.1,1750,796,2011,Flipkart,22.445061165412667,50,5.634981968057702,82.35
Modern Business Trilogy,Robert Kiyosaki,History,O'Reilly Media,37.76,4.5,3327,977,2019,Amazon,16.778630381676706,0,10.7129057187017,90.6654
Design Principles,George R.R. Martin,History,HarperCollins,25.3,4.7,663,1174,2011,Crossword,42.938132278486265,50,2.134853168469861,94.1326
Fitness Handbook,Colleen Hoover,Non-Fiction,Macmillan,18.23,4.8,485,785,2010,BooksWagon,35.54423176639043,40,1.5616950025759917,96.097
Leadership Journal,J.K. Rowling,Biography,O'Reilly Media,35.29,3.2,106,2871,2024,Snapdeal,10.604527030658101,0,0.3413189077794951,64.0212
Beginner's War Masterclass,Walter Isaacson,Fantasy,HarperCollins,13.65,4.2,3789,1185,2025,BooksWagon,39.73871903591651,0,12.200540958268933,84.7578
Modern Mystery Trilogy,J.K. Rowling,Health,Indie Pub,23.14,4.2,77,2358,2023,BooksWagon,24.497247929980546,0,0.24793920659453889,84.0154
Complete Mystery Saga,George R.R. Martin,Non-Fiction,HarperCollins,16.92,4.2,62,2026,2020,Amazon,40.78208907576366,50,0.19963936115404432,84.0124
Secret Love Anthology,James Clear,Health,O'Reilly Media,23.48,4.0,1924,749,2023,BooksWagon,36.99421023789261,50,6.195260175167439,80.3848
Essential History Collection,George R.R. Martin,Fantasy,Penguin Random House,12.43,4.7,270,3470,2016,Crossword,22.008540178769337,50,0.8693972179289026,94.054
Meditation Chronicles,Walter Isaacson,Science Fiction,HarperCollins,10.07,3.8,353,1664,2010,BooksWagon,5.898772332804696,40,1.1366563626996393,76.0706
Past AI Collection,Delia Owens,Science,Penguin Random House,24.46,3.6,283,2028,2023,Amazon,15.747094375397843,40,0.9112570839773312,72.0566
Modern Space Anthology,Stephen King,Fiction,O'Reilly Media,39.82,4.6,500,992,2019,Crossword,26.665368586434678,0,1.6099948480164863,92.1
Forgotten Business Story,Yuval Noah Harari,History,O'Reilly Media,29.44,4.6,842,2193,2014,Flipkart,30.33912879304589,0,2.711231324059763,92.1684
Future Business Principles,Colleen Hoover,Health,Hachette,12.35,3.3,823,921,2023,BooksWagon,15.315507417328092,40,2.6500515198351366,66.1646
Money Story,James Clear,Health,Hachette,7.42,4.4,6597,785,2019,Amazon,10.574242962912965,0,21.242272024729523,89.3194
Future Marketing Workbook,Delia Owens,History,O'Reilly Media,32.88,4.8,12219,1778,2021,Flipkart,38.39720947197196,0,39.345054095826896,98.4438
Advanced Space Handbook,Tim Ferriss,History,Macmillan,14.36,4.3,61,3237,2017,Flipkart,44.37608722814208,40,0.19641937145801133,86.0122
Cooking Anthology,Walter Isaacson,Technology,Amazon KDP,21.22,3.7,112,4639,2022,Snapdeal,26.027607292107433,50,0.36063884595569295,74.0224
Business Collection,Stephen King,Non-Fiction,Indie Pub,23.44,5.0,1166,850,2013,Crossword,11.867171433932139,75,3.7545079855744463,100.2332
Future Fitness System,Stephen King,Non-Fiction,Amazon KDP,15.39,4.5,3796,1208,2014,BooksWagon,15.892293060774758,75,12.223080886141165,90.7592
Mystery System,Agatha Christie,Mystery,HarperCollins,9.81,3.5,192,2164,2020,Amazon,5.735627061898669,40,0.6182380216383307,70.0384
Dark History Secrets,Walter Isaacson,Fantasy,Penguin Random House,19.63,4.5,217,1133,2012,Snapdeal,41.57195226241996,40,0.6987377640391551,90.0434
AI Collection,Colleen Hoover,Science Fiction,Amazon KDP,11.75,3.8,499,1107,2013,Crossword,9.710043315605645,40,1.6067748583204533,76.0998
The Ultimate History Framework,Simon Sinek,Business,Penguin Random House,30.24,4.2,437,2995,2011,Snapdeal,28.060659020570142,50,1.4071354971664092,84.0874
Forgotten Baking Chronicles,Neil Gaiman,Technology,Simon & Schuster,23.81,4.6,178,3139,2017,Crossword,15.96220882748824,0,0.5731581658938691,92.0356
Forgotten Cooking Secrets,Colleen Hoover,Business,Amazon KDP,27.5,4.6,888,1243,2017,Crossword,27.167120100631735,40,2.8593508500772797,92.1776
Future Time Methods,Brene Brown,History,O'Reilly Media,21.65,4.5,313,1642,2018,BooksWagon,31.05681553407457,50,1.0078567748583205,90.0626
Beginner's Leadership Methods,Delia Owens,Fantasy,Simon & Schuster,11.18,4.2,27,7193,2012,Crossword,38.18967214828807,0,0.08693972179289026,84.0054
Mystery Anthology,Neil Gaiman,Fantasy,Hachette,16.3,3.4,983,1926,2024,Snapdeal,13.256850870424127,40,3.1652498712004125,68.1966
Bright History Guide,Yuval Noah Harari,Fiction,Amazon KDP,14.67,4.2,290,1792,2021,Crossword,5.439833146339219,40,0.9337970118495621,84.058
Dark Machine Learning Anthology,Agatha Christie,Health,Hachette,10.7,3.9,1157,2363,2010,BooksWagon,10.475425202752291,0,3.7255280783101496,78.2314
Advanced Design Principles,Simon Sinek,Health,Macmillan,19.18,4.9,465,3648,2021,BooksWagon,41.0007456739242,0,1.4972952086553324,98.093
Lost Machine Learning Framework,Stephen King,Fantasy,HarperCollins,4.99,4.1,1140,1560,2011,Snapdeal,39.95560310250061,0,3.6707882534775886,82.228
Hidden Baking Strategies,Stephen King,Science Fiction,HarperCollins,16.86,4.1,958,1137,2019,Flipkart,28.89652408681233,0,3.084750128799588,82.1916
Money Methods,Delia Owens,Business,Indie Pub,30.84,4.0,772,1815,2018,Flipkart,29.020674417346136,0,2.485832045337455,80.1544
Meditation Workbook,Tim Ferriss,Science Fiction,HarperCollins,12.56,4.0,910,1630,2024,Crossword,31.60146698185022,50,2.930190623390005,80.182
Marketing Masterclass,Delia Owens,Health,Indie Pub,16.45,4.0,2186,1092,2012,Amazon,12.014851144937984,0,7.038897475528079,80.4372
Complete Meditation: The Anthology,Dale Carnegie,History,Hachette,21.01,3.7,54,2390,2022,Crossword,41.57647783699839,40,0.17387944358578053,74.0108
Dark Time Methods,Brand New Author,Non-Fiction,Indie Pub,5.65,5.0,233,4353,2017,Snapdeal,21.750820995682925,0,0.7502575991756826,100.0466
The Ultimate History Anthology,Neil Gaiman,Fantasy,HarperCollins,21.63,3.1,1045,2192,2014,Snapdeal,20.325541129979896,75,3.3648892323544564,62.209
Beginner's Marketing Journal,Robert Kiyosaki,Fiction,Macmillan,16.18,5.0,263,866,2014,Snapdeal,25.7567082113135,0,0.8468572900566719,100.0526
Fitness Handbook,Stephen King,Mystery,Amazon KDP,16.69,5.0,1726,1090,2013,Snapdeal,6.878638671002202,40,5.557702215352911,100.3452
Advanced Love Masterclass,Dale Carnegie,Science Fiction,Macmillan,15.91,3.8,473,1333,2024,Snapdeal,11.651334750243176,50,1.523055126223596,76.0946
Advanced AI Collection,Dale Carnegie,Fantasy,Indie Pub,19.15,4.0,353,3041,2011,BooksWagon,34.52134465705482,50,1.1366563626996393,80.0706
Cooking Strategies,Malcolm Gladwell,Fiction,Penguin Random House,17.39,3.9,1599,1764,2011,Flipkart,8.311946717005059,0,5.148763523956723,78.3198
Cooking Guide,Delia Owens,Fiction,Macmillan,13.65,4.4,387,1654,2016,Snapdeal,29.126084378655527,50,1.2461360123647605,88.0774
Python Story,Stephen King,Science,Simon & Schuster,28.78,4.9,1945,1226,2018,Amazon,14.813964387252838,40,6.262879958784132,98.389
Modern Machine Learning Story,Dale Carnegie,Non-Fiction,Macmillan,17.07,3.6,403,1142,2020,Amazon,20.571824561679062,40,1.297655847501288,72.0806
Future Love Saga,Neil Gaiman,Science Fiction,HarperCollins,6.11,4.2,1152,1668,2012,Amazon,16.547749470827995,0,3.7094281298299845,84.2304
Business Methods,Robert Kiyosaki,Mystery,O'Reilly Media,31.4,4.3,8941,1290,2017,Amazon,19.226908658597964,0,28.78992787223081,87.7882
AI Anthology,James Clear,History,Penguin Random House,15.55,4.6,2176,743,2025,BooksWagon,33.76183620736982,50,7.006697578567748,92.4352
Essential Data Science Story,George R.R. Martin,Science Fiction,HarperCollins,11.05,4.9,3902,1682,2012,Amazon,16.884868624927,40,12.564399793920659,98.7804
Time Saga,Brand New Author,Science,Indie Pub,32.97,4.1,147,2514,2022,Snapdeal,27.656185611875888,40,0.473338485316847,82.0294
Marketing Strategies,Neil Gaiman,Mystery,HarperCollins,15.28,5.0,132,1391,2013,Crossword,24.042016087963987,50,0.4250386398763524,100.0264
Lost Mystery Journal,George R.R. Martin,Cooking,Macmillan,14.21,3.4,223,1627,2023,Amazon,31.546846614505924,50,0.7180577022153529,68.0446
Modern Love Story,Robert Kiyosaki,Science Fiction,Indie Pub,19.12,3.9,334,823,2023,BooksWagon,42.47318957299032,0,1.0754765584750128,78.0668
AI Framework,Walter Isaacson,Fantasy,HarperCollins,13.32,3.4,643,1199,2012,BooksWagon,34.30288388841001,40,2.0704533745492015,68.1286
Hidden Love Journal,Stephen King,Biography,Penguin Random House,13.77,4.2,63,1057,2020,Amazon,13.597615143630271,0,0.20285935085007728,84.0126
Forgotten Business Strategies,Michelle Obama,Health,Hachette,13.85,5.0,7237,877,2019,Crossword,6.247325402451387,50,23.30306543019062,101.4474
Secret Love Masterclass,Walter Isaacson,Business,,23.66,4.2,3653,3588,2013,Amazon,15.490561771993004,40,11.762622359608448,84.7306
Past Design: The Trilogy,Brene Brown,Biography,Macmillan,15.07,4.1,847,1438,2023,BooksWagon,28.803117228010194,75,2.727331272539928,82.1694
Bright History System,Brand New Author,Non-Fiction,Hachette,12.13,3.9,378,2559,2010,Flipkart,7.057032539370014,0,1.2171561051004638,78.0756
Hidden Data Science Story,James Clear,Technology,,21.44,5.0,791,979,2014,Snapdeal,24.854649888049455,0,2.5470118495620815,100.1582
Lost War Chronicles,James Clear,Science Fiction,HarperCollins,4.99,3.5,3540,982,2016,BooksWagon,28.87371395667557,0,11.398763523956724,70.708
Design Handbook,Simon Sinek,Technology,Indie Pub,23.29,3.8,104,2349,2012,Amazon,18.369755632678434,0,0.33487892838742916,76.0208
Lost Design Collection,Colleen Hoover,Fantasy,Hachette,9.45,5.0,3952,644,2024,Snapdeal,35.836488149832874,0,12.725399278722307,100.7904
Complete History Anthology,Brene Brown,Cooking,Macmillan,18.61,4.4,162,3647,2013,Amazon,9.263930125350871,75,0.5216383307573416,88.0324
Forgotten Machine Learning Guide,Simon Sinek,Romance,Penguin Random House,8.89,4.0,741,1060,2017,Amazon,8.00551126943235,0,2.386012364760433,80.1482
AI Guide,Simon Sinek,Self-Help,Macmillan,18.55,4.8,619,1125,2014,Flipkart,34.12755024814413,0,1.9931736218444103,96.1238
Bright Meditation Saga,Neil Gaiman,History,Simon & Schuster,9.59,4.0,1127,1604,2014,Snapdeal,24.81965264824794,50,3.6289283874291605,80.2254
Python Collection,Dale Carnegie,Romance,HarperCollins,16.63,4.1,629,4003,2022,Snapdeal,32.536095857109444,40,2.0253735188047397,82.1258
AI Workbook,Tim Ferriss,Fiction,Amazon KDP,12.39,3.5,350,1408,2022,Flipkart,22.39309354414985,50,1.1269963936115406,70.07
Complete Space: The Masterclass,Tim Ferriss,Non-Fiction,Simon & Schuster,7.22,5.0,228,1217,2024,BooksWagon,14.856081329564272,0,0.7341576506955177,100.0456
Modern War Secrets,Neil Gaiman,Self-Help,Amazon KDP,4.99,4.2,789,1564,2012,Amazon,37.764092706967986,40,2.5405718701700155,84.1578
Advanced Love Framework,J.K. Rowling,Technology,HarperCollins,22.28,4.8,558,1724,2013,Crossword,36.976635158759166,0,1.796754250386399,96.1116
Advanced Baking Story,Stephen King,Science Fiction,Macmillan,15.57,4.5,716,970,2013,Amazon,32.78785883417707,0,2.3055126223596085,90.1432
Forgotten Leadership Collection,Colleen Hoover,Biography,Simon & Schuster,16.54,4.6,222,1165,2025,Amazon,15.885805489198507,75,0.7148377125193199,92.0444
Complete Money Collection,Alex Michaelides,Fantasy,Indie Pub,15.85,4.4,471,2158,2020,BooksWagon,28.609226674763484,0,1.51661514683153,88.0942
Complete History Collection,Simon Sinek,Fantasy,Hachette,12.3,3.7,418,2904,2011,Amazon,19.43895587760107,40,1.3459556929417826,74.0836
