title,author,genre,publisher,price,rating,reviews_count,sales_rank,year,title_len_char,title_len_word,title_has_Guide,title_has_Ultimate,title_has_Beginner,title_has_Advanced,title_has_Masterclass,title_has_Strategies,author_freq,publisher_freq,genre_target_price,author_target_price,is_success
Bright War Journal,J.K. Rowling,self-help,Simon & Schuster,10.77,4.6,254,2518,2023,18,3,0,0,0,0,0,0,52,109,24.81764705882353,31.40346153846154,0
Machine Learning Anthology,Yuval Noah Harari,biography,Hachette,16.07,4.4,298,3986,2015,26,3,0,0,0,0,0,0,44,111,24.535342465753423,30.98318181818182,0
Future Meditation Secrets,Malcolm Gladwell,self-help,O'Reilly Media,25.58,3.6,562,1884,2021,25,3,0,0,0,0,0,0,44,134,24.81764705882353,20.788181818181815,0
Complete Fitness Framework,Malcolm Gladwell,nonfiction,Amazon KDP,16.79,4.7,1808,1633,2020,26,3,0,0,0,0,0,0,44,110,17.289710144927536,20.788181818181815,0
Fitness Chronicles,Tara Westover,fantasy,Amazon KDP,8.11,4.5,522,3200,2020,18,2,0,0,0,0,0,0,46,110,16.82627906976744,18.106739130434782,0
Beginner's War Journal,Brene Brown,mystery,Penguin Random House,17.58,5.0,2248,787,2013,22,3,0,0,1,0,0,0,53,111,18.75859649122807,28.74641509433962,1
Machine Learning Journal,Tara Westover,mystery,HarperCollins,19.77,4.6,459,1586,2022,24,3,0,0,0,0,0,0,46,135,18.75859649122807,18.106739130434782,0
Dark War System,Tara Westover,nonfiction,Macmillan,11.14,4.2,278,2209,2021,15,3,0,0,0,0,0,0,46,122,17.289710144927536,18.106739130434782,0
Beginner's Mystery Methods,Robert Kiyosaki,fantasy,Hachette,26.57,3.4,1244,1596,2019,26,3,0,0,1,0,0,0,52,111,16.82627906976744,21.901538461538465,0
Hidden Baking Methods,Stephen King,romance,Macmillan,12.64,4.0,1511,705,2023,21,3,0,0,0,0,0,0,66,122,17.3478125,27.875151515151515,1
Hidden Leadership System,Delia Owens,cooking,Penguin Random House,11.42,4.3,306,1572,2019,24,3,0,0,0,0,0,0,59,111,17.460945945945944,21.622542372881355,0
Future Baking Bible,George R.R. Martin,history,O'Reilly Media,35.23,4.5,3154,2705,2016,19,3,0,0,0,0,0,0,53,134,17.616060606060607,27.61679245283019,0
History Secrets,Tara Westover,science,Indie Pub,14.87,4.6,277,1861,2012,15,2,0,0,0,0,0,0,46,120,34.48933333333333,18.106739130434782,0
Lost Design Bible,Malcolm Gladwell,biography,Simon & Schuster,16.04,4.6,790,2096,2010,17,3,0,0,0,0,0,0,44,109,24.535342465753423,20.788181818181815,0
Advanced Cooking Guide,Neil Gaiman,history,Unknown Publisher,9.0,3.9,455,1364,2022,22,3,1,0,0,1,0,0,50,44,17.616060606060607,19.3094,0
Bright Business Collection,Robert Kiyosaki,biography,Amazon KDP,23.83,5.0,306,925,2017,26,3,0,0,0,0,0,0,52,110,24.535342465753423,21.901538461538465,1
Future Time Saga,Delia Owens,nonfiction,Macmillan,25.61,4.0,154,1415,2013,16,3,0,0,0,0,0,0,59,122,17.289710144927536,21.622542372881355,0
Bright Business Journal,Brand New Author,romance,Indie Pub,21.33,4.6,870,1790,2024,23,3,0,0,0,0,0,0,49,120,17.3478125,20.243673469387755,0
Fitness Secrets,Delia Owens,health,O'Reilly Media,25.37,3.7,19,2048,2015,15,2,0,0,0,0,0,0,59,134,18.720967741935485,21.622542372881355,0
Complete History Secrets,Brene Brown,health,O'Reilly Media,28.74,3.5,1281,3992,2017,24,3,0,0,0,0,0,0,53,134,18.720967741935485,28.74641509433962,0
Advanced Mystery Story,Tim Ferriss,science,Indie Pub,22.8,3.5,2223,1900,2012,22,3,0,0,0,1,0,0,50,120,34.48933333333333,17.877200000000002,0
Secret Time Journal,Malcolm Gladwell,science fiction,HarperCollins,20.82,4.4,263,1424,2023,19,3,0,0,0,0,0,0,44,135,23.323882352941176,20.788181818181815,0
Python Workbook,Malcolm Gladwell,nonfiction,Amazon KDP,16.0,4.0,407,2631,2022,15,2,0,0,0,0,0,0,44,110,17.289710144927536,20.788181818181815,0
Space Trilogy,James Clear,history,Indie Pub,15.57,3.9,5531,883,2019,13,2,0,0,0,0,0,0,43,120,17.616060606060607,20.353488372093025,1
Hidden Money Guide,Delia Owens,science fiction,Macmillan,25.67,4.5,523,1640,2025,18,3,1,0,0,0,0,0,59,122,23.323882352941176,21.622542372881355,0
Forgotten Marketing: The Guide,Tim Ferriss,cooking,Amazon KDP,16.4,4.0,548,1480,2015,30,4,1,0,0,0,0,0,50,110,17.460945945945944,17.877200000000002,0
Essential Time Chronicles,Alex Michaelides,cooking,Penguin Random House,12.05,3.9,957,1492,2012,25,3,0,0,0,0,0,0,48,111,17.460945945945944,20.53708333333333,0
Beginner's War Workbook,Brene Brown,nonfiction,Amazon KDP,19.5,4.5,1265,1781,2020,23,3,0,0,1,0,0,0,53,110,17.289710144927536,28.74641509433962,0
Bright Marketing Handbook,Neil Gaiman,science,Hachette,20.86,4.5,819,2577,2012,25,3,0,0,0,0,0,0,50,111,34.48933333333333,19.3094,0
Advanced Python: The Story,Yuval Noah Harari,technology,HarperCollins,24.9,3.9,1878,1910,2011,26,4,0,0,0,1,0,0,44,135,27.96157894736842,30.98318181818182,0
Advanced Time Principles,Stephen King,self-help,O'Reilly Media,32.74,4.7,771,1042,2013,24,3,0,0,0,1,0,0,66,134,24.81764705882353,27.875151515151515,1
History Masterclass,Dale Carnegie,biography,Simon & Schuster,19.13,4.2,2445,1508,2013,19,2,0,0,0,0,1,0,48,109,24.535342465753423,20.772291666666668,0
Bright Gardening Bible,James Clear,mystery,Hachette,23.41,4.1,1297,1066,2022,22,3,0,0,0,0,0,0,43,111,18.75859649122807,20.353488372093025,1
AI Handbook,Yuval Noah Harari,mystery,HarperCollins,15.48,5.0,273,1615,2019,11,2,0,0,0,0,0,0,44,135,18.75859649122807,30.98318181818182,0
Dark War Guide,Delia Owens,technology,Amazon KDP,19.97,4.6,1773,1794,2021,14,3,1,0,0,0,0,0,59,110,27.96157894736842,21.622542372881355,0
Beginner's Time Story,Neil Gaiman,health,O'Reilly Media,33.12,3.8,618,1598,2013,21,3,0,0,1,0,0,0,50,134,18.720967741935485,19.3094,0
Past Leadership Principles,J.K. Rowling,cooking,Hachette,15.38,4.1,1496,1771,2025,26,3,0,0,0,0,0,0,52,111,17.460945945945944,31.40346153846154,0
Time Workbook,Yuval Noah Harari,technology,HarperCollins,20.87,3.9,658,2295,2018,13,2,0,0,0,0,0,0,44,135,27.96157894736842,30.98318181818182,0
Advanced Love Principles,James Clear,technology,O'Reilly Media,35.89,4.2,1339,953,2020,24,3,0,0,0,1,0,0,43,134,27.96157894736842,20.353488372093025,1
Advanced Data Science Secrets,Brene Brown,technology,Hachette,22.64,3.5,128,1830,2010,29,4,0,0,0,1,0,0,53,111,27.96157894736842,28.74641509433962,0
Dark Money Collection,Neil Gaiman,science fiction,O'Reilly Media,26.41,4.9,624,2186,2017,21,3,0,0,0,0,0,0,50,134,23.323882352941176,19.3094,0
Bright Meditation Methods,James Clear,biography,HarperCollins,19.29,3.7,949,1033,2019,25,3,0,0,0,0,0,0,43,135,24.535342465753423,20.353488372093025,1
Beginner's Space Trilogy,Alex Michaelides,fantasy,Unknown Publisher,14.91,3.8,886,1556,2025,24,3,0,0,1,0,0,0,48,44,16.82627906976744,20.53708333333333,0
Advanced AI Strategies,Dale Carnegie,technology,O'Reilly Media,42.6,4.4,544,1648,2018,22,3,0,0,0,1,0,1,48,134,27.96157894736842,20.772291666666668,0
Lost Fitness Saga,Robert Kiyosaki,technology,Simon & Schuster,28.45,4.2,1150,1087,2016,17,3,0,0,0,0,0,0,52,109,27.96157894736842,21.901538461538465,1
Beginner's Baking Methods,Simon Sinek,mystery,HarperCollins,15.49,4.4,353,2895,2016,25,3,0,0,1,0,0,0,56,135,18.75859649122807,20.928392857142857,0
The Ultimate Marketing Methods,Delia Owens,nonfiction,Simon & Schuster,27.26,3.8,5958,1445,2018,30,4,0,1,0,0,0,0,59,109,17.289710144927536,21.622542372881355,0
Money Anthology,Stephen King,science fiction,O'Reilly Media,34.36,4.1,9261,964,2013,15,2,0,0,0,0,0,0,66,134,23.323882352941176,27.875151515151515,1
Past Money Masterclass,Tim Ferriss,history,Simon & Schuster,10.8,3.9,45,2630,2011,22,3,0,0,0,0,1,0,50,109,17.616060606060607,17.877200000000002,0
Dark Machine Learning Story,Colleen Hoover,health,Amazon KDP,11.2,5.0,1731,812,2025,27,4,0,0,0,0,0,0,46,110,18.720967741935485,19.616739130434784,1
Space Secrets,Alex Michaelides,business,Hachette,29.75,4.4,156,2599,2012,13,2,0,0,0,0,0,0,48,111,26.626666666666665,20.53708333333333,0
Leadership Journal,Tara Westover,biography,Amazon KDP,8.4,4.3,3468,937,2024,18,2,0,0,0,0,0,0,46,110,24.535342465753423,18.106739130434782,1
Gardening Principles,Alex Michaelides,science,Penguin Random House,16.43,4.8,687,1297,2013,20,2,0,0,0,0,0,0,48,111,34.48933333333333,20.53708333333333,0
Complete Baking Guide,Colleen Hoover,fantasy,Unknown Publisher,7.03,4.5,1186,847,2017,21,3,1,0,0,0,0,0,46,44,16.82627906976744,19.616739130434784,1
Modern History Collection,George R.R. Martin,cooking,Unknown Publisher,27.75,4.1,214,1601,2019,25,3,0,0,0,0,0,0,53,44,17.460945945945944,27.61679245283019,0
Secret Meditation Story,Yuval Noah Harari,fiction,Hachette,15.6,3.6,1228,1658,2016,23,3,0,0,0,0,0,0,44,111,25.9630303030303,30.98318181818182,0
Modern Design Methods,Stephen King,science,HarperCollins,17.33,4.1,1750,796,2011,21,3,0,0,0,0,0,0,66,135,34.48933333333333,27.875151515151515,1
Modern Business Trilogy,Robert Kiyosaki,history,O'Reilly Media,37.76,4.5,3327,977,2019,23,3,0,0,0,0,0,0,52,134,17.616060606060607,21.901538461538465,1
Design Principles,George R.R. Martin,history,HarperCollins,25.3,4.7,663,1174,2011,17,2,0,0,0,0,0,0,53,135,17.616060606060607,27.61679245283019,0
Fitness Handbook,Colleen Hoover,nonfiction,Macmillan,18.23,4.8,485,785,2010,16,2,0,0,0,0,0,0,46,122,17.289710144927536,19.616739130434784,1
Leadership Journal,J.K. Rowling,biography,O'Reilly Media,35.29,3.2,106,2871,2024,18,2,0,0,0,0,0,0,52,134,24.535342465753423,31.40346153846154,0
Beginner's War Masterclass,Walter Isaacson,fantasy,HarperCollins,13.65,4.2,3789,1185,2025,26,3,0,0,1,0,1,0,49,135,16.82627906976744,19.53448979591837,0
Modern Mystery Trilogy,J.K. Rowling,health,Indie Pub,23.14,4.2,77,2358,2023,22,3,0,0,0,0,0,0,52,120,18.720967741935485,31.40346153846154,0
Complete Mystery Saga,George R.R. Martin,nonfiction,HarperCollins,16.92,4.2,62,2026,2020,21,3,0,0,0,0,0,0,53,135,17.289710144927536,27.61679245283019,0
Secret Love Anthology,James Clear,health,O'Reilly Media,23.48,4.0,1924,749,2023,21,3,0,0,0,0,0,0,43,134,18.720967741935485,20.353488372093025,1
Essential History Collection,George R.R. Martin,fantasy,Penguin Random House,12.43,4.7,270,3470,2016,28,3,0,0,0,0,0,0,53,111,16.82627906976744,27.61679245283019,0
Meditation Chronicles,Walter Isaacson,science fiction,HarperCollins,10.07,3.8,353,1664,2010,21,2,0,0,0,0,0,0,49,135,23.323882352941176,19.53448979591837,0
Past AI Collection,Delia Owens,science,Penguin Random House,24.46,3.6,283,2028,2023,18,3,0,0,0,0,0,0,59,111,34.48933333333333,21.622542372881355,0
Modern Space Anthology,Stephen King,fiction,O'Reilly Media,39.82,4.6,500,992,2019,22,3,0,0,0,0,0,0,66,134,25.9630303030303,27.875151515151515,1
Forgotten Business Story,Yuval Noah Harari,history,O'Reilly Media,29.44,4.6,842,2193,2014,24,3,0,0,0,0,0,0,44,134,17.616060606060607,30.98318181818182,0
Future Business Principles,Colleen Hoover,health,Hachette,12.35,3.3,823,921,2023,26,3,0,0,0,0,0,0,46,111,18.720967741935485,19.616739130434784,1
Money Story,James Clear,health,Hachette,7.42,4.4,6597,785,2019,11,2,0,0,0,0,0,0,43,111,18.720967741935485,20.353488372093025,1
Future Marketing Workbook,Delia Owens,history,O'Reilly Media,32.88,4.8,12219,1778,2021,25,3,0,0,0,0,0,0,59,134,17.616060606060607,21.622542372881355,0
Advanced Space Handbook,Tim Ferriss,history,Macmillan,14.36,4.3,61,3237,2017,23,3,0,0,0,1,0,0,50,122,17.616060606060607,17.877200000000002,0
Cooking Anthology,Walter Isaacson,technology,Amazon KDP,21.22,3.7,112,4639,2022,17,2,0,0,0,0,0,0,49,110,27.96157894736842,19.53448979591837,0
Business Collection,Stephen King,nonfiction,Indie Pub,23.44,5.0,1166,850,2013,19,2,0,0,0,0,0,0,66,120,17.289710144927536,27.875151515151515,1
Future Fitness System,Stephen King,nonfiction,Amazon KDP,15.39,4.5,3796,1208,2014,21,3,0,0,0,0,0,0,66,110,17.289710144927536,27.875151515151515,0
Mystery System,Agatha Christie,mystery,HarperCollins,9.81,3.5,192,2164,2020,14,2,0,0,0,0,0,0,39,135,18.75859649122807,17.696666666666665,0
Dark History Secrets,Walter Isaacson,fantasy,Penguin Random House,19.63,4.5,217,1133,2012,20,3,0,0,0,0,0,0,49,111,16.82627906976744,19.53448979591837,0
AI Collection,Colleen Hoover,science fiction,Amazon KDP,11.75,3.8,499,1107,2013,13,2,0,0,0,0,0,0,46,110,23.323882352941176,19.616739130434784,1
The Ultimate History Framework,Simon Sinek,business,Penguin Random House,30.24,4.2,437,2995,2011,30,4,0,1,0,0,0,0,56,111,26.626666666666665,20.928392857142857,0
Forgotten Baking Chronicles,Neil Gaiman,technology,Simon & Schuster,23.81,4.6,178,3139,2017,27,3,0,0,0,0,0,0,50,109,27.96157894736842,19.3094,0
Forgotten Cooking Secrets,Colleen Hoover,business,Amazon KDP,27.5,4.6,888,1243,2017,25,3,0,0,0,0,0,0,46,110,26.626666666666665,19.616739130434784,0
Future Time Methods,Brene Brown,history,O'Reilly Media,21.65,4.5,313,1642,2018,19,3,0,0,0,0,0,0,53,134,17.616060606060607,28.74641509433962,0
Beginner's Leadership Methods,Delia Owens,fantasy,Simon & Schuster,11.18,4.2,27,7193,2012,29,3,0,0,1,0,0,0,59,109,16.82627906976744,21.622542372881355,0
Mystery Anthology,Neil Gaiman,fantasy,Hachette,16.3,3.4,983,1926,2024,17,2,0,0,0,0,0,0,50,111,16.82627906976744,19.3094,0
Bright History Guide,Yuval Noah Harari,fiction,Amazon KDP,14.67,4.2,290,1792,2021,20,3,1,0,0,0,0,0,44,110,25.9630303030303,30.98318181818182,0
Dark Machine Learning Anthology,Agatha Christie,health,Hachette,10.7,3.9,1157,2363,2010,31,4,0,0,0,0,0,0,39,111,18.720967741935485,17.696666666666665,0
Advanced Design Principles,Simon Sinek,health,Macmillan,19.18,4.9,465,3648,2021,26,3,0,0,0,1,0,0,56,122,18.720967741935485,20.928392857142857,0
Lost Machine Learning Framework,Stephen King,fantasy,HarperCollins,4.99,4.1,1140,1560,2011,31,4,0,0,0,0,0,0,66,135,16.82627906976744,27.875151515151515,0
Hidden Baking Strategies,Stephen King,science fiction,HarperCollins,16.86,4.1,958,1137,2019,24,3,0,0,0,0,0,1,66,135,23.323882352941176,27.875151515151515,0
Money Methods,Delia Owens,business,Indie Pub,30.84,4.0,772,1815,2018,13,2,0,0,0,0,0,0,59,120,26.626666666666665,21.622542372881355,0
Meditation Workbook,Tim Ferriss,science fiction,HarperCollins,12.56,4.0,910,1630,2024,19,2,0,0,0,0,0,0,50,135,23.323882352941176,17.877200000000002,0
Marketing Masterclass,Delia Owens,health,Indie Pub,16.45,4.0,2186,1092,2012,21,2,0,0,0,0,1,0,59,120,18.720967741935485,21.622542372881355,1
Complete Meditation: The Anthology,Dale Carnegie,history,Hachette,21.01,3.7,54,2390,2022,34,4,0,0,0,0,0,0,48,111,17.616060606060607,20.772291666666668,0
Dark Time Methods,Brand New Author,nonfiction,Indie Pub,5.65,5.0,233,4353,2017,17,3,0,0,0,0,0,0,49,120,17.289710144927536,20.243673469387755,0
The Ultimate History Anthology,Neil Gaiman,fantasy,HarperCollins,21.63,3.1,1045,2192,2014,30,4,0,1,0,0,0,0,50,135,16.82627906976744,19.3094,0
Beginner's Marketing Journal,Robert Kiyosaki,fiction,Macmillan,16.18,5.0,263,866,2014,28,3,0,0,1,0,0,0,52,122,25.9630303030303,21.901538461538465,1
Fitness Handbook,Stephen King,mystery,Amazon KDP,16.69,5.0,1726,1090,2013,16,2,0,0,0,0,0,0,66,110,18.75859649122807,27.875151515151515,1
Advanced Love Masterclass,Dale Carnegie,science fiction,Macmillan,15.91,3.8,473,1333,2024,25,3,0,0,0,1,1,0,48,122,23.323882352941176,20.772291666666668,0
Advanced AI Collection,Dale Carnegie,fantasy,Indie Pub,19.15,4.0,353,3041,2011,22,3,0,0,0,1,0,0,48,120,16.82627906976744,20.772291666666668,0
Cooking Strategies,Malcolm Gladwell,fiction,Penguin Random House,17.39,3.9,1599,1764,2011,18,2,0,0,0,0,0,1,44,111,25.9630303030303,20.788181818181815,0
Cooking Guide,Delia Owens,fiction,Macmillan,13.65,4.4,387,1654,2016,13,2,1,0,0,0,0,0,59,122,25.9630303030303,21.622542372881355,0
Python Story,Stephen King,science,Simon & Schuster,28.78,4.9,1945,1226,2018,12,2,0,0,0,0,0,0,66,109,34.48933333333333,27.875151515151515,0
Modern Machine Learning Story,Dale Carnegie,nonfiction,Macmillan,17.07,3.6,403,1142,2020,29,4,0,0,0,0,0,0,48,122,17.289710144927536,20.772291666666668,0
Future Love Saga,Neil Gaiman,science fiction,HarperCollins,6.11,4.2,1152,1668,2012,16,3,0,0,0,0,0,0,50,135,23.323882352941176,19.3094,0
Business Methods,Robert Kiyosaki,mystery,O'Reilly Media,31.4,4.3,8941,1290,2017,16,2,0,0,0,0,0,0,52,134,18.75859649122807,21.901538461538465,0
AI Anthology,James Clear,history,Penguin Random House,15.55,4.6,2176,743,2025,12,2,0,0,0,0,0,0,43,111,17.616060606060607,20.353488372093025,1
Essential Data Science Story,George R.R. Martin,science fiction,HarperCollins,11.05,4.9,3902,1682,2012,28,4,0,0,0,0,0,0,53,135,23.323882352941176,27.61679245283019,0
Time Saga,Brand New Author,science,Indie Pub,32.97,4.1,147,2514,2022,9,2,0,0,0,0,0,0,49,120,34.48933333333333,20.243673469387755,0
Marketing Strategies,Neil Gaiman,mystery,HarperCollins,15.28,5.0,132,1391,2013,20,2,0,0,0,0,0,1,50,135,18.75859649122807,19.3094,0
Lost Mystery Journal,George R.R. Martin,cooking,Macmillan,14.21,3.4,223,1627,2023,20,3,0,0,0,0,0,0,53,122,17.460945945945944,27.61679245283019,0
Modern Love Story,Robert Kiyosaki,science fiction,Indie Pub,19.12,3.9,334,823,2023,17,3,0,0,0,0,0,0,52,120,23.323882352941176,21.901538461538465,1
AI Framework,Walter Isaacson,fantasy,HarperCollins,13.32,3.4,643,1199,2012,12,2,0,0,0,0,0,0,49,135,16.82627906976744,19.53448979591837,0
Hidden Love Journal,Stephen King,biography,Penguin Random House,13.77,4.2,63,1057,2020,19,3,0,0,0,0,0,0,66,111,24.535342465753423,27.875151515151515,1
Forgotten Business Strategies,Michelle Obama,health,Hachette,13.85,5.0,7237,877,2019,29,3,0,0,0,0,0,1,49,111,18.720967741935485,18.409795918367347,1
Secret Love Masterclass,Walter Isaacson,business,Unknown Publisher,23.66,4.2,3653,3588,2013,23,3,0,0,0,0,1,0,49,44,26.626666666666665,19.53448979591837,0
Past Design: The Trilogy,Brene Brown,biography,Macmillan,15.07,4.1,847,1438,2023,24,4,0,0,0,0,0,0,53,122,24.535342465753423,28.74641509433962,0
